file_size;chunk_size;encoding_time;rate_compression;decoding_time
data/data_1000000;100;97.88429020;63;163.46058400
data/data_1000000;150;76.99745670;60;136.26542400
data/data_1000000;200;62.19985860;57;129.27202160
data/data_1000000;250;56.25875970;55;115.62473380
data/data_1000000;300;51.31164990;54;111.47834230
data/data_1000000;350;48.07620660;53;103.04885160
data/data_1000000;400;45.03319260;52;107.25983240
data/data_1000000;450;42.84884690;51;101.80888880
data/data_1000000;500;41.05938600;50;99.71174470
data/data_1000000;550;38.89083780;50;96.57847920
data/data_1000000;1000;38.24208930;47;86.98605510
data/data_1000000;1500;41.72901230;45;79.90073240
data/data_1000000;2000;41.48922640;44;78.65072680
data/data_1000000;2500;40.95523000;43;76.48364960
data/data_1000000;3000;43.29294920;42;80.11960530
data/data_1000000;3500;43.60795570;42;72.03265570
data/data_1000000;4000;43.60629330;41;76.47379500
data/data_1000000;4500;45.84583350;41;77.72345740
data/data_1000000;5000;45.63790350;41;82.77050310
data/data_1000000;5500;46.22018820;41;78.05306650
data/data_1000000;6000;48.44001190;40;78.84277110
data/data_1000000;7000;50.06489760;40;76.55643970
data/data_1000000;8000;52.66524740;40;76.32260660
data/data_1000000;9000;56.21137040;39;78.79159480
data/data_1000000;10000;61.17967920;39;76.64768110
data/data_1000000;12000;65.49572290;39;75.57129420
data/data_1000000;15000;78.24681480;38;73.70741290
data/data_1000000;18000;89.18000550;38;75.34515420
data/data_1000000;20000;102.67537280;38;75.05883210
data/data_1000000;25000;164.24643420;37;78.91287700
data/data_1000000;30000;244.43874760;37;75.04565410
data/data_1000000;35000;359.89617240;37;71.79061820
data/data_500000;100;51.66137160;63;86.78222080
data/data_500000;150;39.47259370;60;69.33824740
data/data_500000;200;32.49940580;57;61.11018360
data/data_500000;250;29.08392380;55;56.05955950
data/data_500000;300;26.74359010;54;56.10335270
data/data_500000;350;24.49485520;53;52.01182440
data/data_500000;400;23.68829000;52;52.54718510
data/data_500000;450;22.56266110;51;54.18118970
data/data_500000;500;21.53551800;50;51.60350500
data/data_500000;550;20.74855280;50;58.30401260
data/data_500000;1000;20.91183110;47;45.45068840
data/data_500000;1500;22.30924690;45;42.61791450
data/data_500000;2000;21.62592510;44;38.89006340
data/data_500000;2500;21.99435260;43;38.39786160
data/data_500000;3000;22.54908500;42;37.14620380
data/data_500000;3500;23.55173620;42;42.99624950
data/data_500000;4000;23.57561780;41;41.27645930
data/data_500000;4500;23.62369880;41;39.40905740
data/data_500000;5000;23.96062620;41;39.62136440
data/data_500000;5500;25.32376200;41;39.50366200
data/data_500000;6000;25.19471620;40;39.57814260
data/data_500000;7000;26.84823910;40;39.09999430
data/data_500000;8000;28.44967820;40;38.76662370
data/data_500000;9000;30.38970450;39;38.12363840
data/data_500000;10000;32.37353530;39;38.19877260
data/data_500000;12000;36.18361830;39;40.39768480
data/data_500000;15000;42.85101810;38;39.32228630
data/data_500000;18000;50.71891480;38;39.53415950
data/data_500000;20000;58.13736710;38;38.53913200
data/data_500000;25000;88.50378420;37;37.83069120
data/data_500000;30000;129.88716000;37;37.21681090
data/data_500000;35000;193.32225630;37;37.16489920
data/data_250000;100;26.56929220;63;41.66121850
data/data_250000;150;20.85368500;60;38.63053950
data/data_250000;200;17.49901300;57;34.65914600
data/data_250000;250;15.50050500;55;30.86122500
data/data_250000;300;14.39400000;54;28.39874040
data/data_250000;350;13.81515700;53;27.42704570
data/data_250000;400;12.93629430;52;27.35186050
data/data_250000;450;12.78495770;51;27.91074710
data/data_250000;500;12.26981770;50;27.66217600
data/data_250000;550;11.84455600;50;26.69196580
data/data_250000;1000;11.92460410;47;25.45047600
data/data_250000;1500;11.92454810;45;20.60143390
data/data_250000;2000;12.35490690;44;21.17224800
data/data_250000;2500;12.75481080;43;21.33801410
data/data_250000;3000;13.15100520;42;19.99655870
data/data_250000;3500;13.44043770;42;19.87229300
data/data_250000;4000;13.81235500;41;19.75596760
data/data_250000;4500;13.52369920;41;21.37103000
data/data_250000;5000;13.86559540;41;21.44052650
data/data_250000;5500;14.08172850;41;21.62584500
data/data_250000;6000;14.58322810;40;23.06270820
data/data_250000;7000;15.19939030;40;21.17148870
data/data_250000;8000;16.23527000;40;20.81760810
data/data_250000;9000;17.62897400;39;23.26437870
data/data_250000;10000;18.59836210;39;21.02425810
data/data_250000;12000;20.96299120;39;21.31754860
data/data_250000;15000;24.79354860;38;20.78630610
data/data_250000;18000;29.46825720;38;20.68520840
data/data_250000;20000;33.97795790;38;22.03898420
data/data_250000;25000;50.01746320;37;20.55751420
data/data_250000;30000;74.47920040;37;20.18625900
data/data_250000;35000;110.41329150;37;20.35536320
